source_system,table_name,field_name,source_file,ordinal_position,data_type,size_text,full_type,max_length,numeric_precision,numeric_scale,is_nullable,raw_duplicate_row_count,duplicate_full_type_count,duplicate_size_count,duplicate_nullable_count,duplicate_ordinal_count,has_duplicate_rows_in_source,has_within_source_type_conflict,has_within_source_size_conflict,has_within_source_nullable_conflict,has_within_source_ordinal_conflict
eclipse,ssd_address,addr_address_end_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,5,timestamp,,timestamp,,,,true,2,2,0,1,1,True,True,False,False,False
eclipse,ssd_address,addr_address_json,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,7,varchar,1000.0,varchar(1000),1000.0,,,true,2,2,1,1,1,True,True,False,False,False
eclipse,ssd_address,addr_address_postcode,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,6,varchar,15.0,varchar(15),15.0,,,true,2,2,1,1,1,True,True,False,False,False
eclipse,ssd_address,addr_address_start_date,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,4,timestamp,,timestamp,,,,true,2,2,0,1,1,True,True,False,False,False
eclipse,ssd_address,addr_address_type,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,3,varchar,48.0,varchar(48),48.0,,,true,2,2,1,1,1,True,True,False,False,False
eclipse,ssd_address,addr_person_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,2,varchar,48.0,varchar(48),48.0,,,true,2,2,1,1,1,True,True,False,False,False
eclipse,ssd_address,addr_table_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,1,varchar,48.0,varchar(48),48.0,,,false,2,2,1,1,1,True,True,False,False,False
eclipse,ssd_assessment_factors,cinf_assessment_factors_json,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_assessment_factors.sql,3,text,,text,,,,true,1,1,0,1,1,False,False,False,False,False
eclipse,ssd_assessment_factors,cinf_assessment_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_assessment_factors.sql,2,varchar,48.0,varchar(48),48.0,,,false,1,1,1,1,1,False,False,False,False,False
eclipse,ssd_assessment_factors,cinf_table_id,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_assessment_factors.sql,1,varchar,48.0,varchar(48),48.0,,,false,1,1,1,1,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_accom_suitable,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,7,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_accommodation,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,6,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_activity,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,8,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_allocated_team,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,11,varchar,48.0,varchar(48),48.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_eligibility,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,3,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_in_touch,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,4,varchar,100.0,varchar(100),100.0,,,,1,1,1,0,1,False,False,False,False,False
eclipse,ssd_care_leavers,clea_care_leaver_latest_contact,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,5,timestamp,,timestamp,,,,,1,1,0,0,1,False,False,False,False,False
