left_source,right_source,table_name,present_mosaic,present_systemc,field_count_mosaic,field_count_systemc,table_present_in_both,field_count_same,field_name_set_same,common_field_count,missing_field_rows,type_mismatch_rows,size_mismatch_rows,nullable_mismatch_rows,ordinal_mismatch_rows,pair_matches_cleanly,present_eclipse,field_count_eclipse
mosaic,eclipse,ssd_address,True,,7,,True,True,True,7,0,2,5,0,6,False,True,7
mosaic,eclipse,ssd_assessment_factors,True,,3,,True,True,True,3,0,1,2,0,0,False,True,3
mosaic,eclipse,ssd_care_leavers,True,,12,,True,True,True,12,0,3,10,0,0,False,True,12
mosaic,eclipse,ssd_cin_assessments,True,,10,,True,True,True,10,0,6,8,0,0,False,True,10
mosaic,eclipse,ssd_cin_episodes,True,,12,,True,True,True,12,0,7,9,0,0,False,True,12
mosaic,eclipse,ssd_cin_plans,True,,7,,True,True,False,6,2,4,4,0,0,False,True,7
mosaic,eclipse,ssd_cin_visits,True,,6,,True,True,False,5,2,4,4,0,0,False,True,6
mosaic,eclipse,ssd_cla_care_plan,True,,5,,True,True,False,4,2,3,2,0,4,False,True,5
mosaic,eclipse,ssd_cla_convictions,True,,3,,True,False,False,3,1,1,2,0,0,False,True,4
mosaic,eclipse,ssd_cla_episodes,True,,12,,True,True,True,12,0,5,8,0,10,False,True,12
mosaic,eclipse,ssd_cla_health,True,,5,,True,True,True,5,0,1,4,0,0,False,True,5
mosaic,eclipse,ssd_cla_immunisations,True,,2,,True,False,False,2,1,1,2,0,0,False,True,3
mosaic,eclipse,ssd_cla_placement,True,,10,,True,False,False,10,1,3,7,0,9,False,True,11
mosaic,eclipse,ssd_cla_previous_permanence,True,,5,,True,True,True,5,0,1,5,0,3,False,True,5
mosaic,eclipse,ssd_cla_reviews,True,,7,,True,False,False,6,1,3,4,0,5,False,True,6
mosaic,eclipse,ssd_cla_substance_misuse,True,,5,,True,True,True,5,0,2,4,0,0,False,True,5
mosaic,eclipse,ssd_cla_visits,True,,6,,True,True,True,6,0,3,5,0,6,False,True,6
mosaic,eclipse,ssd_cohort,False,,,,False,False,False,0,0,0,0,0,0,False,False,
mosaic,eclipse,ssd_contacts,True,,5,,True,False,False,5,1,2,4,0,2,False,True,6
mosaic,eclipse,ssd_cp_plans,True,,8,,True,False,False,8,1,2,6,0,2,False,True,9
mosaic,eclipse,ssd_cp_reviews,True,,18,,True,False,False,7,13,7,5,0,6,False,True,9
mosaic,eclipse,ssd_cp_visits,True,,6,,True,False,False,6,1,4,5,0,1,False,True,7
mosaic,eclipse,ssd_department,True,,4,,True,True,True,4,0,4,4,0,0,False,True,4
mosaic,eclipse,ssd_dim_date,False,,,,False,False,False,0,0,0,0,0,0,False,False,
mosaic,eclipse,ssd_disability,True,,3,,True,True,True,3,0,0,3,0,2,False,True,3
mosaic,eclipse,ssd_early_help_episodes,True,,8,,True,True,True,8,0,6,3,0,0,False,True,8
mosaic,eclipse,ssd_ehcp_active_plans,True,,3,,True,True,True,3,0,3,2,0,0,False,True,3
mosaic,eclipse,ssd_ehcp_assessment,True,,5,,True,True,True,5,0,5,4,0,0,False,True,5
mosaic,eclipse,ssd_ehcp_named_plan,True,,5,,True,True,True,5,0,5,3,0,0,False,True,5
mosaic,eclipse,ssd_ehcp_requests,True,,5,,True,True,True,5,0,5,3,0,0,False,True,5
mosaic,eclipse,ssd_family,False,,,,False,False,False,0,3,0,0,0,0,False,True,3
