table_name,field_count_mosaic,raw_field_rows_mosaic,present_mosaic,field_count_systemc,raw_field_rows_systemc,present_systemc,field_count_eclipse,raw_field_rows_eclipse,present_eclipse,present_in_sources,present_in_all_3,field_count_same_where_present,column_rows_considered,field_name_set_same_all_3,full_type_same_all_common_fields,size_same_all_common_fields,nullable_same_all_common_fields,ordinal_same_all_common_fields,missing_field_rows,type_mismatch_rows,size_mismatch_rows,nullable_mismatch_rows,ordinal_mismatch_rows,common_fields_with_any_within_source_duplicates,common_fields_with_any_within_source_conflicts,all_three_match_cleanly
ssd_address,7,7,True,7,14,True,7,14,True,3,True,True,7,True,False,False,True,False,0,7,5,0,6,7,7,False
ssd_assessment_factors,3,3,True,3,6,True,3,3,True,3,True,True,3,True,False,False,True,True,0,3,3,0,0,3,0,False
ssd_care_leavers,12,12,True,12,24,True,12,12,True,3,True,True,12,True,False,False,True,True,0,12,10,0,0,12,0,False
ssd_cin_assessments,10,10,True,10,20,True,10,10,True,3,True,True,10,True,False,False,True,True,0,10,8,0,0,10,0,False
ssd_cin_episodes,12,12,True,12,24,True,12,12,True,3,True,True,12,True,False,False,True,True,0,12,10,0,0,12,1,False
ssd_cin_plans,7,7,True,7,14,True,7,7,True,3,True,True,8,False,False,False,True,True,2,6,4,0,0,6,0,False
ssd_cin_visits,6,6,True,6,12,True,6,6,True,3,True,True,7,False,False,False,True,True,2,5,4,0,0,5,0,False
ssd_cla_care_plan,5,5,True,5,10,True,5,5,True,3,True,True,6,False,False,False,True,False,2,4,2,0,4,4,0,False
ssd_cla_convictions,3,3,True,4,8,True,4,4,True,3,True,False,4,False,False,False,True,True,1,3,2,0,0,3,0,False
ssd_cla_episodes,12,12,True,12,24,True,12,12,True,3,True,True,12,True,False,False,True,False,0,12,8,0,10,12,0,False
ssd_cla_health,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,4,0,0,5,0,False
ssd_cla_immunisations,2,2,True,3,6,True,3,3,True,3,True,False,3,False,False,False,True,True,1,2,2,0,0,2,0,False
