source_system,source_file,schema_name,table_name,field_name,table_field,ordinal_position,data_type,size_text,full_type,max_length,numeric_precision,numeric_scale,is_nullable
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,,ssd_address,addr_table_id,ssd_address.addr_table_id,1,varchar,48,varchar(48),48,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files_tsql/ssd_address.sql,,ssd_address,addr_table_id,ssd_address.addr_table_id,1,nvarchar,48,nvarchar(48),48,,,False
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,,ssd_address,addr_person_id,ssd_address.addr_person_id,2,varchar,48,varchar(48),48,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files_tsql/ssd_address.sql,,ssd_address,addr_person_id,ssd_address.addr_person_id,2,nvarchar,48,nvarchar(48),48,,,True
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,,ssd_address,addr_address_type,ssd_address.addr_address_type,3,varchar,48,varchar(48),48,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files_tsql/ssd_address.sql,,ssd_address,addr_address_type,ssd_address.addr_address_type,3,nvarchar,48,nvarchar(48),48,,,True
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,,ssd_address,addr_address_start_date,ssd_address.addr_address_start_date,4,timestamp,,timestamp,,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files_tsql/ssd_address.sql,,ssd_address,addr_address_start_date,ssd_address.addr_address_start_date,4,datetime,,datetime,,,,True
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,,ssd_address,addr_address_end_date,ssd_address.addr_address_end_date,5,timestamp,,timestamp,,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files_tsql/ssd_address.sql,,ssd_address,addr_address_end_date,ssd_address.addr_address_end_date,5,datetime,,datetime,,,,True
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,,ssd_address,addr_address_postcode,ssd_address.addr_address_postcode,6,varchar,15,varchar(15),15,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files_tsql/ssd_address.sql,,ssd_address,addr_address_postcode,ssd_address.addr_address_postcode,6,nvarchar,15,nvarchar(15),15,,,True
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql,,ssd_address,addr_address_json,ssd_address.addr_address_json,7,varchar,1000,varchar(1000),1000,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files_tsql/ssd_address.sql,,ssd_address,addr_address_json,ssd_address.addr_address_json,7,nvarchar,1000,nvarchar(1000),1000,,,True
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_assessment_factors.sql,,ssd_assessment_factors,cinf_table_id,ssd_assessment_factors.cinf_table_id,1,varchar,48,varchar(48),48,,,False
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_assessment_factors.sql,,ssd_assessment_factors,cinf_assessment_id,ssd_assessment_factors.cinf_assessment_id,2,varchar,48,varchar(48),48,,,False
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_assessment_factors.sql,,ssd_assessment_factors,cinf_assessment_factors_json,ssd_assessment_factors.cinf_assessment_factors_json,3,text,,text,,,,True
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_table_id,ssd_care_leavers.clea_table_id,1,varchar,48,varchar(48),48,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_person_id,ssd_care_leavers.clea_person_id,2,varchar,48,varchar(48),48,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_care_leaver_eligibility,ssd_care_leavers.clea_care_leaver_eligibility,3,varchar,100,varchar(100),100,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_care_leaver_in_touch,ssd_care_leavers.clea_care_leaver_in_touch,4,varchar,100,varchar(100),100,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_care_leaver_latest_contact,ssd_care_leavers.clea_care_leaver_latest_contact,5,timestamp,,timestamp,,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_care_leaver_accommodation,ssd_care_leavers.clea_care_leaver_accommodation,6,varchar,100,varchar(100),100,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_care_leaver_accom_suitable,ssd_care_leavers.clea_care_leaver_accom_suitable,7,varchar,100,varchar(100),100,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_care_leaver_activity,ssd_care_leavers.clea_care_leaver_activity,8,varchar,100,varchar(100),100,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_pathway_plan_review_date,ssd_care_leavers.clea_pathway_plan_review_date,9,timestamp,,timestamp,,,,
eclipse,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql,,ssd_care_leavers,clea_care_leaver_personal_advisor,ssd_care_leavers.clea_care_leaver_personal_advisor,10,varchar,100,varchar(100),100,,,
