source_system,source_file,schema_name,table_name,field_name,table_field,ordinal_position,data_type,size_text,full_type,max_length,numeric_precision,numeric_scale,is_nullable
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_address,addr_table_id,ssd_address.addr_table_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_address,addr_address_json,ssd_address.addr_address_json,2,varchar,1000,varchar(1000),1000,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_address,addr_person_id,ssd_address.addr_person_id,3,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_address,addr_address_type,ssd_address.addr_address_type,4,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_address,addr_address_start_date,ssd_address.addr_address_start_date,5,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_address,addr_address_end_date,ssd_address.addr_address_end_date,6,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_address,addr_address_postcode,ssd_address.addr_address_postcode,7,varchar,15,varchar(15),15,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_assessment_factors,cinf_table_id,ssd_assessment_factors.cinf_table_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_assessment_factors,cinf_assessment_id,ssd_assessment_factors.cinf_assessment_id,2,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_assessment_factors,cinf_assessment_factors_json,ssd_assessment_factors.cinf_assessment_factors_json,3,varchar,1000,varchar(1000),1000,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_table_id,ssd_care_leavers.clea_table_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_person_id,ssd_care_leavers.clea_person_id,2,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_eligibility,ssd_care_leavers.clea_care_leaver_eligibility,3,varchar,100,varchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_in_touch,ssd_care_leavers.clea_care_leaver_in_touch,4,varchar,100,varchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_latest_contact,ssd_care_leavers.clea_care_leaver_latest_contact,5,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_accommodation,ssd_care_leavers.clea_care_leaver_accommodation,6,varchar,100,varchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_accom_suitable,ssd_care_leavers.clea_care_leaver_accom_suitable,7,varchar,100,varchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_activity,ssd_care_leavers.clea_care_leaver_activity,8,varchar,100,varchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_pathway_plan_review_date,ssd_care_leavers.clea_pathway_plan_review_date,9,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_personal_advisor,ssd_care_leavers.clea_care_leaver_personal_advisor,10,varchar,100,varchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_allocated_team,ssd_care_leavers.clea_care_leaver_allocated_team,11,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_care_leavers,clea_care_leaver_worker_id,ssd_care_leavers.clea_care_leaver_worker_id,12,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_id,ssd_cin_assessments.cina_assessment_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_person_id,ssd_cin_assessments.cina_person_id,2,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_referral_id,ssd_cin_assessments.cina_referral_id,3,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_start_date,ssd_cin_assessments.cina_assessment_start_date,4,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_child_seen,ssd_cin_assessments.cina_assessment_child_seen,5,varchar,1,varchar(1),1,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_auth_date,ssd_cin_assessments.cina_assessment_auth_date,6,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_outcome_json,ssd_cin_assessments.cina_assessment_outcome_json,7,varchar,1000,varchar(1000),1000,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_outcome_nfa,ssd_cin_assessments.cina_assessment_outcome_nfa,8,varchar,1,varchar(1),1,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_team,ssd_cin_assessments.cina_assessment_team,9,varchar,100,varchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_assessments,cina_assessment_worker_id,ssd_cin_assessments.cina_assessment_worker_id,10,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_episodes,cine_referral_id,ssd_cin_episodes.cine_referral_id,1,int,,int,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_episodes,cine_person_id,ssd_cin_episodes.cine_person_id,2,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_episodes,cine_referral_date,ssd_cin_episodes.cine_referral_date,3,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_episodes,cine_cin_primary_need_code,ssd_cin_episodes.cine_cin_primary_need_code,4,varchar,16,varchar(16),16,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cin_episodes,cine_referral_source_code,ssd_cin_episodes.cine_referral_source_code,5,varchar,48,varchar(48),48,,,
