item_ref,object_name,categories,constraints,type,max_field_size,field_name,description,foreign_key,expected_data,returns,cms,cms_field,cms_table,required_enabled,unique_enabled,primary_key,join_type,guidance
PERS001A,ssd_person,identity, ,nvarchar,48,pers_person_id,Person Unique ID, , ,SSDA903|CIN|AnnexA|RIIA|SEN2,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : pers_person_id|mosaic : pers_person_id,liquid_logic : ssd_person|mosaic : ssd_person,Yes,Yes,Yes, ,Person's ID generated in CMS Database
PERS002A,ssd_person,identity, ,nvarchar,20,pers_sex,Sex, , ,SSDA903|RIIA|AnnexA|SEN2,liquid_logic|mosaic|eclipse|caredirector,liquid_logic : pers_sex|mosaic : pers_sex,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"Person's Sex, as recorded on a birth certificate or in a gender recognition certificate.
Code set
F - Female
M - Male
U - Unknown "
PERS003A,ssd_person,identity, ,nvarchar,10,pers_gender,Gender, ,"[""unknown"",NULL, F, U, M, I] ",CIN|RIIA,liquid_logic|mosaic|azeus,liquid_logic : pers_gender|mosaic : pers_gender,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"A person’s inner concept of self as male, female, neither or a blend of both.
Code set
00 - Not known (for example, question has not been asked, answer was refused)
01 - Man / Boy / Male [systems should display the most appropriate value, e.g. Boy for children, Man for adults, Male if preferred] 
02 - Woman / Girl / Female [systems should display the most appropriate value, e.g. Girl for children, Woman for adults, Female if preferred]
09 - Prefer to Self-Describe
Codes 10 to 99 to be available for local use but to be regarded as subcodes of 9 (Other). Free text field or locally defined codes to be available for recording individual’s identification where ‘Prefer to Self-Describe’ has been chosen. While there are no plans to transfer this data it is envisaged that, if transfer of codes were to be implemented, only code ‘9’ would be transferred rather than codes ‘11’, ‘12’ etc."
PERS004A,ssd_person,identity, ,nvarchar,48,pers_ethnicity,Ethnicity, , ,SSDA903|CIN|AnnexA|RIIA|SEN2,liquid_logic|mosaic|azeus,liquid_logic : pers_ethnicity|mosaic : pers_ethnicity,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"Person's Ethnicity. This information must come from the child, or the parent, guardian or carer.
Where the ethnicity has not yet been collected, this is recorded as ‘NOBT’ (information not yet obtained). Where a child, parent, guardian or carer declines to provide ethnicity data, code ‘REFU’ (refused) is recorded.
Ethnicity should be recorded using one of the DfE main categories shown below, which replicate those used in the school census and the children in need (CIN) return.
Code set
WBRI   -   White British
WIRI    -   White Irish
WOTH -   Any other White background 
WIRT    -  Traveller of Irish Heritage
WROM -  Gypsy/Roma
MWBC -  White and Black Caribbean
MWBA -  White and Black African
MWAS -  White and Asian
MOTH  -  Any other Mixed background
AIND    -  Indian
APKN   -  Pakistani
ABAN   -  Bangladeshi
CNHE   -  Chinese
AOTH  -  Any other Asian background
BCRB  -  Caribbean
BAFR  -  African
BOTH -  Any other Black background
OOTH -  Any other ethnic group
REFU  -  Refused
NOBT -  Information not yet obtained "
PERS005A,ssd_person,identity, ,datetime,NULL,pers_dob,Date of Birth, , ,SSDA903|CIN|AnnexA|RIIA|SEN2,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : pers_dob|mosaic : pers_dob,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"Person's date of birth. Either Date of Birth or Expected Date of Birth should be recorded, but not both. If the exact day of birth is not known:
Unknown dates can be a problem for unaccompanied asylum-seeking children, If the day of birth is not known then assume that it was the 15th of the month. Do not use first day of the month as a dummy date of birth."
PERS013A,ssd_person,identity, ,nvarchar,48,pers_common_child_id,Common Child Identifier (NHS Number), , ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : pers_common_child_id|mosaic : pers_common_child_id,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"This is a lifetime national identifier allocated from birth, or when a person registers with the NHS
for the first time (England, Isle of Man and Wales). Allocated by the PDS, the first nine digits are the identifier and the tenth helps the number test its own validity."
PERS014A,ssd_person,identity, ,nvarchar,48,pers_legacy_id,Person System ID, , ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : pers_legacy_id|mosaic : pers_legacy_id, , , , , ,"This must be a unique ID for each child (no longer than 20 characters) and should be retained from year to year. A child ID should not be reused after a period of time, it should be unique to a single child in your local authority. It can include alphabetic and numeric characters. Do not use non-numeric or non-alphabetic characters.
If a looked-after child is adopted, and subsequently becomes looked-after again later, they should have two separate unlinked records – one for pre-adoption and one for post-adoption – with two different child identifiers."
PERS007A,ssd_person,identity, ,nvarchar,6,pers_upn_unknown,UPN Unknown, , ,RIIA|CIN|SEN2,liquid_logic|mosaic|azeus,liquid_logic : pers_upn_unknown|mosaic : pers_upn_unknown,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"If the UPN is unknown, then one of the codes below should be used. If a child is educated outside England, please use UPN unknown code UN3, unless the child has a UPN from previously attending a school in England. If the child is home educated and has previously attended a mainstream school, please provide the UPN allocated earlier.
Code set
UN1 - Child looked-after is not of school age and has not yet been assigned a UPN
UN2 - Child looked-after has never attended a maintained school in England (for example, some unaccompanied asylum-seeking children (UASC))
UN3 - Child looked-after is educated outside England
UN4 - Child is newly looked-after and the UPN is not yet known
UN5 - Sources collating UPNs reflect discrepancy(ies) for the child's name and/or surname and/or date of birth therefore preventing reliable matching (for example, duplicated UPNs)"
PERS008A,ssd_person,identity, ,nchar,1,pers_send_flag,SEND Flag, ,"[""Y""]",NEETandparticipation|RIIA,liquid_logic,liquid_logic : pers_send_flag|mosaic : pers_send_flag,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"Flag showing if a person has an EHC plan recorded on the system.
Code set
Y - Has an EHC Plan
N - Does not have an EHC Plan "
PERS009A,ssd_person,identity, ,datetime,NULL,pers_expected_dob,Expected Birth Date, , ,CIN|RIIA,liquid_logic|azeus,liquid_logic : pers_expected_dob|mosaic : pers_expected_dob,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"The expected date of birth (due date) is recorded for a child who is unborn at the time of referral.
If the child is born before the case is closed, then the actual date of birth should be recorded.
If a child is stillborn, or the mother suffers a miscarriage (including a chemical pregnancy) or a phantom pregnancy, or there is a termination of the pregnancy, please record the expected date of birth and leave the date of birth blank. The children in need (CIN) closure date does not need to match the date on the death certificate. The date of death and the final closure date can both be recorded. The reason for CIN closure should be recorded as ‘RC2 died’."
PERS010A,ssd_person,identity, ,datetime,NULL,pers_death_date,Date of Death, , ,CIN|RIIA,liquid_logic|azeus,liquid_logic : pers_death_date|mosaic : pers_death_date,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"Date of death, which should be verified from the death certificate."
