item_ref,field_name
PERS014A,pers_legacy_id
FAMI003A,fami_table_id
EARL008A,earl_episode_worker_name
CINE008A,cine_referral_team_name
CINE009A,cine_referral_worker_name
CINA007A,cina_assessment_team_name
CINA008A,cina_assessment_worker_name
CINP003A,cinp_cin_plan_start_date
CINP004A,cinp_cin_plan_end_date
CINP005A,cinp_cin_plan_team_name
CINP006A,cinp_cin_plan_worker_name
CINV007A,cinv_person_id
S47E008A,s47e_s47_completed_by_worker_name
S47E009A,s47e_s47_completed_by_team_name
ICPC007A,icpc_icpc_team_name
ICPC008A,icpc_icpc_worker_name
CPPL011A,cppl_cp_plan_ola
CPPV008A,cppv_person_id
CPPR009A,cppr_cp_review_meeting_id
CPPR005A,cppr_cp_review_outcome_continue_cp
CLAC004A,clac_cla_conviction_offence
CLAI005A,clai_immunisations_status_date
CLAP013A,clap_person_id
LAPP001A,lapp_table_id
LACP001A,lacp_table_id
LACP003A,lacp_cla_care_plan_json
CSDQ001A,csdq_table_id
CLEA001A,clea_table_id
CLEA007A,clea_care_leaver_accom_suitable
CLEA011A,clea_care_leaver_allocated_team_name
CLEA012A,clea_care_leaver_worker_name
PERM001A,perm_table_id
PERM023A,perm_adoption_worker_name
INVO011A,invo_person_id
PROF013A,prof_professional_name
SEND004A,send_upn_unknown
