pers_person_id_2,pers_person_id_3,pers_person_id_4,pers_person_id_cincllac,pers_person_id_5
100052,100014,100014,7203275,100006
100335,100042,100026,7203291,100014
100442,100045,100042,7203342,100026
100747,100275,100045,7203343,100042
100748,100306,100052,7203350,100045
101083,100320,100065,7203351,100052
101379,100500,100126,7203352,100065
101479,100638,100127,7203353,100126
101540,100968,100133,7044044,100127
101570,101570,100139,117405,100133
101621,101874,100162,7044115,100139
101623,101890,100182,7044116,100160
101900,102019,100184,156355,100162
102086,102260,100228,7203443,100182
102227,102261,100262,156440,100184
102228,102287,100275,156450,100228
102261,102643,100282,156553,100262
105374,104968,100285,156604,100275
105512,105083,100297,7044173,100282
105522,105098,100300,7126933,100285
105807,105997,100306,7203534,100297
105901,106115,100320,7203535,100300
106409,106232,100327,118205,100306
106463,106272,100329,118318,100320
106592,106280,100335,156607,100323
106810,106366,100440,156708,100327
106926,106387,100442,156709,100329
107048,106392,100446,156711,100335
107102,106592,100500,156712,100440
107181,106819,100534,7044408,100442
107204,107340,100574,7044423,100446
107206,107380,100624,7044429,100500
107232,107421,100631,7044434,100534
107243,107583,100633,7044435,100574
107294,107628,100680,7044436,100624
107407,107644,100683,7044439,100631
107654,107708,100737,118681,100633
107656,107956,100745,7203644,100638
107657,107984,100747,7203649,100680
107718,108036,100748,7203801,100683
107731,108139,100770,156930,100707
107782,108357,100895,118907,100737
107841,108386,100905,119087,100745
107895,108387,100968,7203825,100747
107930,108519,100974,7203837,100748
107956,108610,100992,7203839,100770
108139,108616,101006,7203846,100895
108262,109074,101009,7203941,100905
108607,109197,101037,7203944,100968
108696,109341,101083,119264,100974
108771,109620,101214,119450,100992
108775,109712,101236,157024,101006
108890,109764,101266,157099,101009
108965,109877,101292,157164,101037
109147,110193,101298,119742,101083
109205,110430,101379,119940,101190
109341,110555,101380,157181,101191
109370,110654,101464,7204050,101214
109410,110713,101467,120203,101236
109416,110718,101479,120281,101266
109417,110822,101482,120378,101292
109548,110831,101508,120389,101298
109641,111047,101532,120400,101379
109692,111093,101539,120469,101380
109834,111163,101540,120788,101464
109835,111266,101570,7204222,101467
109881,111309,101621,121150,101479
109905,111497,101623,7204425,101482
109926,111501,101648,7204426,101508
110389,111806,101721,7045360,101532
110422,111807,101759,7045370,101533
110470,111841,101766,7204495,101539
110593,111853,101784,7204576,101540
110597,112020,101809,7128060,101570
110611,112039,101838,121685,101621
110625,112043,101874,121698,101623
110654,112290,101890,7045542,101648
110713,112556,101896,158056,101721
110910,112614,101900,7204740,101759
111005,112619,101935,7204745,101766
111310,112776,101937,7045759,101784
111319,112787,101939,122560,101809
111327,112884,101951,7204851,101838
111428,112885,101971,7045865,101874
111501,112983,101976,122835,101890
111786,113189,102019,122925,101896
111806,113208,102050,7045936,101900
111807,113266,102072,7045993,101927
111816,113396,102077,7205054,101935
111953,113676,102086,123227,101937
112022,113682,102090,123229,101939
112240,113838,102134,123317,101951
112281,114290,102144,123323,101971
112372,114470,102204,7128651,101976
112434,114571,102227,7046029,102019
112456,114829,102228,7046030,102031
112504,114855,102260,7046136,102032
112534,114858,102261,7046189,102050
112548,114868,102273,7205159,102072
112619,114904,102287,7205169,102077
112820,114958,104068,7205308,102086
112983,114971,104433,158768,102088
113017,115033,104800,158776,102090
