SMS_pers_legacy_id_ssd1,SMS_pers_person_id_ssd1,SMS_pers_legacy_id_ssd2,SMS_pers_person_id_ssd2,SMS_pers_legacy_id_ssd3,SMS_pers_person_id_ssd3,Az_pers_legacy_id_ssd1,Az_pers_person_id_ssd1,Az_pers_legacy_id_ssd2,Az_pers_person_id_ssd2,Az_pers_legacy_id_ssd3,Az_pers_person_id_ssd3,cincplac_pers_legacy_id,cincplac_pers_person_id
P2024156,13968,P2024156,13968,P0046055,2888,P2024156,13968,P2024156,13968,P0046055,2888,7203275,7203275
P2025073,14023,P2025073,14023,P0060799,3036,P2025073,14023,P2025073,14023,P0060799,3036,7203291,7203291
P2032219,14948,P2032219,14948,P0098771,3393,P2032219,14948,P2032219,14948,P0098771,3393,7203342,7203342
P3021990,22578,P3021990,22578,P0136360,3774,P3021990,22578,P3021990,22578,P0136360,3774,7203343,7203343
P3056740,35304,P3056740,35304,P0137290,3786,P3056740,35304,P3056740,35304,P0137290,3786,7203350,7203350
P3140314,65419,P3140314,65419,P0256048,4675,P3140314,65419,P3140314,65419,P0256048,4675,7203351,7203351
P3142986,67791,P3142986,67791,P0256882,4682,P3142986,67791,P3142986,67791,P0256882,4682,7203352,7203352
P3143486,68222,P3143486,68222,P0279668,4857,P3143486,68222,P3143486,68222,P0279668,4857,7203353,7203353
P3145374,69922,P3145374,69922,P0311240,5101,P3145374,69922,P3145374,69922,P0311240,5101,7044044,7044044
P3145587,70102,P3145587,70102,P0347260,5378,P3145587,70102,P3145587,70102,P0347260,5378,P4100279,117405
P3146231,70673,P3146231,70673,P0367314,5519,P3146231,70673,P3146231,70673,P0367314,5519,7044115,7044115
P3146397,70821,P3146397,70821,P0373325,5569,P3146397,70821,P3146397,70821,P0373325,5569,7044116,7044116
P3147864,72146,P3147864,72146,P0545128,6778,P3147864,72146,P3147864,72146,P0545128,6778,P4185182,156355
P3148205,72453,P3148205,72453,P0601824,7239,P3148205,72453,P3148205,72453,P0601824,7239,7203443,7203443
P3148589,72810,P3148589,72810,P0604290,7261,P3148589,72810,P3148589,72810,P0604290,7261,P4185331,156440
P3150029,74098,P3150029,74098,P0635990,7549,P3150029,74098,P3150029,74098,P0635990,7549,P4185345,156450
P3150664,74679,P3150664,74679,P0648144,7660,P3150664,74679,P3150664,74679,P0648144,7660,P4185524,156553
P3150750,74754,P3150750,74754,P0667612,7831,P3150750,74754,P3150750,74754,P0667612,7831,P4185605,156604
P3151973,75864,P3151973,75864,P0696892,8074,P3151973,75864,P3151973,75864,P0696892,8074,7044173,7044173
P3152449,76282,P3152449,76282,P0701395,8119,P3152449,76282,P3152449,76282,P0701395,8119,S722193,7126933
P3152800,76605,P3152800,76605,P0731610,8381,P3152800,76605,P3152800,76605,P0731610,8381,7203534,7203534
P3153153,76917,P3153153,76917,P0754963,8553,P3153153,76917,P3153153,76917,P0754963,8553,7203535,7203535
P3153556,77272,P3153556,77272,P0825915,9203,P3153556,77272,P3153556,77272,P0825915,9203,P4102362,118205
P3153672,77387,P3153672,77387,P0889080,9775,P3153672,77387,P3153672,77387,P0889080,9775,P4102623,118318
P3154715,78368,P3154715,78368,P0891622,9792,P3154715,78368,P3154715,78368,P0891622,9792,P4185608,156607
P3154803,78454,P3154803,78454,P0891900,9796,P3154803,78454,P3154803,78454,P0891900,9796,P4185819,156708
P3155147,78736,P3155147,78736,P0898880,9879,P3155147,78736,P3155147,78736,P0898880,9879,P4185823,156709
P3155225,78803,P3155225,78803,P0971158,10384,P3155225,78803,P3155225,78803,P0971158,10384,P4185826,156711
P4001967,79787,P4001967,79787,P1021606,10707,P4001967,79787,P4001967,79787,P1021606,10707,P4185827,156712
P4003128,80246,P4003128,80246,P1202997,11549,P4003128,80246,P4003128,80246,P1202997,11549,7044408,7044408
P4003583,80393,P4003583,80393,P1600972,12947,P4003583,80393,P4003583,80393,P1600972,12947,7044423,7044423
P4003584,80394,P4003584,80394,P2012080,13348,P4003584,80394,P4003584,80394,P2012080,13348,7044429,7044429
P4006670,81479,P4006670,81479,P2013316,13363,P4006670,81479,P4006670,81479,P2013316,13363,7044434,7044434
P4007213,81665,P4007213,81665,P2018172,13599,P4007213,81665,P4007213,81665,P2018172,13599,7044435,7044435
P4007429,81742,P4007429,81742,P2020684,13763,P4007429,81742,P4007429,81742,P2020684,13763,7044436,7044436
P4007916,81900,P4007916,81900,P2021032,13783,P4007916,81900,P4007916,81900,P2021032,13783,7044439,7044439
P4009665,82529,P4009665,82529,P2023161,13914,P4009665,82529,P4009665,82529,P2023161,13914,P4103379,118681
P4010000,82633,P4010000,82633,P2024156,13968,P4010000,82633,P4010000,82633,P2024156,13968,7203644,7203644
P4010126,82667,P4010126,82667,P2024763,14009,P4010126,82667,P4010126,82667,P2024763,14009,7203649,7203649
P4011196,82999,P4011196,82999,P2025073,14023,P4011196,82999,P4011196,82999,P2025073,14023,7203801,7203801
P4011885,83173,P4011885,83173,P2025074,14024,P4011885,83173,P4011885,83173,P2025074,14024,P4186200,156930
P4012988,83561,P4012988,83561,P2027169,14143,P4012988,83561,P4012988,83561,P2027169,14143,P4103957,118907
P4014939,84090,P4014939,84090,P2027326,14150,P4014939,84090,P4014939,84090,P2027326,14150,P4104345,119087
P4016805,84723,P4016805,84723,P2028385,14271,P4016805,84723,P4016805,84723,P2028385,14271,7203825,7203825
P4017731,85097,P4017731,85097,P2031570,14862,P4017731,85097,P4017731,85097,P2031570,14862,7203837,7203837
P4018011,85222,P4018011,85222,P2031905,14888,P4018011,85222,P4018011,85222,P2031905,14888,7203839,7203839
P4018539,85449,P4018539,85449,P2032219,14948,P4018539,85449,P4018539,85449,P2032219,14948,7203846,7203846
P4019819,85958,P4019819,85958,P3001016,15249,P4019819,85958,P4019819,85958,P3001016,15249,7203941,7203941
P4019863,85981,P4019863,85981,P3001483,15417,P4019863,85981,P4019863,85981,P3001483,15417,7203944,7203944
P4020240,86125,P4020240,86125,P3004253,16344,P4020240,86125,P4020240,86125,P3004253,16344,P4104750,119264
P4020362,86169,P4020362,86169,P3008084,17668,P4020362,86169,P4020362,86169,P3008084,17668,P4105206,119450
P4021107,86484,P4021107,86484,P3010136,18369,P4021107,86484,P4021107,86484,P3010136,18369,P4186335,157024
P4022918,87201,P4022918,87201,P3010137,18370,P4022918,87201,P4022918,87201,P3010137,18370,P4186464,157099
P4023359,87360,P4023359,87360,P3010227,18403,P4023359,87360,P4023359,87360,P3010227,18403,P4186578,157164
P4023452,87423,P4023452,87423,P3011305,18812,P4023452,87423,P4023452,87423,P3011305,18812,P4105882,119742
P4023935,87617,P4023935,87617,P3013029,19390,P4023935,87617,P4023935,87617,P3013029,19390,P4106380,119940
P4024268,87734,P4024268,87734,P3013539,19580,P4024268,87734,P4024268,87734,P3013539,19580,P4186602,157181
P4024347,87768,P4024347,87768,P3013637,19629,P4024347,87768,P4024347,87768,P3013637,19629,7204050,7204050
P4024842,87955,P4024842,87955,P3014312,19858,P4024842,87955,P4024842,87955,P3014312,19858,P4107059,120203
P4024992,88015,P4024992,88015,P3015225,20230,P4024992,88015,P4024992,88015,P3015225,20230,P4107283,120281
P4026288,88450,P4026288,88450,P3015538,20333,P4026288,88450,P4026288,88450,P3015538,20333,P4107587,120378
P4026611,88566,P4026611,88566,P3016521,20630,P4026611,88566,P4026611,88566,P3016521,20630,P4107624,120389
P4027393,88919,P4027393,88919,P3016956,20809,P4027393,88919,P4027393,88919,P3016956,20809,P4107657,120400
P4027394,88920,P4027394,88920,P3016957,20810,P4027394,88920,P4027394,88920,P3016957,20810,P4107881,120469
P4027544,88964,P4027544,88964,P3021308,22321,P4027544,88964,P4027544,88964,P3021308,22321,P4108693,120788
P4027858,89080,P4027858,89080,P3021438,22375,P4027858,89080,P4027858,89080,P3021438,22375,7204222,7204222
P4028041,89136,P4028041,89136,P3021685,22457,P4028041,89136,P4028041,89136,P3021685,22457,P4109665,121150
P4028326,89247,P4028326,89247,P3021903,22545,P4028326,89247,P4028326,89247,P3021903,22545,7204425,7204425
P4028464,89315,P4028464,89315,P3021936,22556,P4028464,89315,P4028464,89315,P3021936,22556,7204426,7204426
P4028610,89395,P4028610,89395,P3021990,22578,P4028610,89395,P4028610,89395,P3021990,22578,7045360,7045360
P4032098,90796,P4032098,90796,P3022281,22666,P4032098,90796,P4032098,90796,P3022281,22666,7045370,7045370
P4032115,90804,P4032115,90804,P3022816,22849,P4032115,90804,P4032115,90804,P3022816,22849,7204495,7204495
